texto,token_principal,categoria,risk_score
"A única saída é seguir os ideais de divisão atômica_41, mesmo que isso custe tudo.",divisão atômica_41,atomwaffen,5
"A única saída é seguir os ideais de células AWD_86, mesmo que isso custe tudo.",células AWD_86,atomwaffen,5
"A única saída é seguir os ideais de sobrevivencialismo racial_34, mesmo que isso custe tudo.",sobrevivencialismo racial_34,atomwaffen,5
"A única saída é seguir os ideais de dia da corda_25, mesmo que isso custe tudo.",dia da corda_25,atomwaffen,5
"A única saída é seguir os ideais de atomwaffen, mesmo que isso custe tudo.",atomwaffen,atomwaffen,5
"A única saída é seguir os ideais de sobrevivencialismo racial_54, mesmo que isso custe tudo.",sobrevivencialismo racial_54,atomwaffen,5
"A única saída é seguir os ideais de o colapso vem aí_87, mesmo que isso custe tudo.",o colapso vem aí_87,atomwaffen,5
"A única saída é seguir os ideais de antidemocracia_53, mesmo que isso custe tudo.",antidemocracia_53,atomwaffen,5
"A única saída é seguir os ideais de o colapso vem aí_27, mesmo que isso custe tudo.",o colapso vem aí_27,atomwaffen,5
"A única saída é seguir os ideais de sobrevivencialismo racial, mesmo que isso custe tudo.",sobrevivencialismo racial,atomwaffen,5
"A única saída é seguir os ideais de colapso do sistema_83, mesmo que isso custe tudo.",colapso do sistema_83,atomwaffen,5
"A única saída é seguir os ideais de terror estratégico_48, mesmo que isso custe tudo.",terror estratégico_48,atomwaffen,5
"A única saída é seguir os ideais de nova ordem racial_71, mesmo que isso custe tudo.",nova ordem racial_71,atomwaffen,5
"A única saída é seguir os ideais de AWD-BR_36, mesmo que isso custe tudo.",AWD-BR_36,atomwaffen,5
"A única saída é seguir os ideais de morte aos fracos_98, mesmo que isso custe tudo.",morte aos fracos_98,atomwaffen,5
"A única saída é seguir os ideais de terror esotérico_32, mesmo que isso custe tudo.",terror esotérico_32,atomwaffen,5
"A única saída é seguir os ideais de revolução branca_89, mesmo que isso custe tudo.",revolução branca_89,atomwaffen,5
"A única saída é seguir os ideais de antidemocracia_93, mesmo que isso custe tudo.",antidemocracia_93,atomwaffen,5
"A única saída é seguir os ideais de divisão atômica, mesmo que isso custe tudo.",divisão atômica,atomwaffen,5
"A única saída é seguir os ideais de guerra total_44, mesmo que isso custe tudo.",guerra total_44,atomwaffen,5
"A única saída é seguir os ideais de sobrevivencialismo racial, mesmo que isso custe tudo.",sobrevivencialismo racial,atomwaffen,5
"A única saída é seguir os ideais de revolução branca_89, mesmo que isso custe tudo.",revolução branca_89,atomwaffen,5
"A única saída é seguir os ideais de dia da corda_45, mesmo que isso custe tudo.",dia da corda_45,atomwaffen,5
"A única saída é seguir os ideais de terror esotérico_92, mesmo que isso custe tudo.",terror esotérico_92,atomwaffen,5
"A única saída é seguir os ideais de nova ordem racial_51, mesmo que isso custe tudo.",nova ordem racial_51,atomwaffen,5
"A única saída é seguir os ideais de führer branco_50, mesmo que isso custe tudo.",führer branco_50,atomwaffen,5
"A única saída é seguir os ideais de sobrevivencialismo racial_94, mesmo que isso custe tudo.",sobrevivencialismo racial_94,atomwaffen,5
"A única saída é seguir os ideais de colapso do sistema_63, mesmo que isso custe tudo.",colapso do sistema_63,atomwaffen,5
"A única saída é seguir os ideais de morte aos fracos_98, mesmo que isso custe tudo.",morte aos fracos_98,atomwaffen,5
"A única saída é seguir os ideais de colapso do sistema_63, mesmo que isso custe tudo.",colapso do sistema_63,atomwaffen,5
"A única saída é seguir os ideais de revolução branca_49, mesmo que isso custe tudo.",revolução branca_49,atomwaffen,5
"A única saída é seguir os ideais de accelerationismo, mesmo que isso custe tudo.",accelerationismo,atomwaffen,5
"A única saída é seguir os ideais de guerra total_84, mesmo que isso custe tudo.",guerra total_84,atomwaffen,5
"A única saída é seguir os ideais de celular autônoma AWD_37, mesmo que isso custe tudo.",celular autônoma AWD_37,atomwaffen,5
"A única saída é seguir os ideais de divisão atômica_41, mesmo que isso custe tudo.",divisão atômica_41,atomwaffen,5
"A única saída é seguir os ideais de revolução branca_29, mesmo que isso custe tudo.",revolução branca_29,atomwaffen,5
"A única saída é seguir os ideais de accelerationismo_82, mesmo que isso custe tudo.",accelerationismo_82,atomwaffen,5
"A única saída é seguir os ideais de celular autônoma AWD, mesmo que isso custe tudo.",celular autônoma AWD,atomwaffen,5
"A única saída é seguir os ideais de terror estratégico_48, mesmo que isso custe tudo.",terror estratégico_48,atomwaffen,5
"A única saída é seguir os ideais de accelerationismo, mesmo que isso custe tudo.",accelerationismo,atomwaffen,5
"A única saída é seguir os ideais de dia da corda_25, mesmo que isso custe tudo.",dia da corda_25,atomwaffen,5
"A única saída é seguir os ideais de nova ordem racial_31, mesmo que isso custe tudo.",nova ordem racial_31,atomwaffen,5
"A única saída é seguir os ideais de celular autônoma AWD_37, mesmo que isso custe tudo.",celular autônoma AWD_37,atomwaffen,5
"A única saída é seguir os ideais de o colapso vem aí_27, mesmo que isso custe tudo.",o colapso vem aí_27,atomwaffen,5
"A única saída é seguir os ideais de sobrevivencialismo racial_74, mesmo que isso custe tudo.",sobrevivencialismo racial_74,atomwaffen,5
"A única saída é seguir os ideais de colapso do sistema_83, mesmo que isso custe tudo.",colapso do sistema_83,atomwaffen,5
