texto,token_principal,categoria,risk_score
Quem entende TCC_20 sabe que o sistema educacional é só um alvo simbólico.,TCC_20,ataques_escolares,5
Quem entende vídeo final_96 sabe que o sistema educacional é só um alvo simbólico.,vídeo final_96,ataques_escolares,5
Quem entende escola alvo_88 sabe que o sistema educacional é só um alvo simbólico.,escola alvo_88,ataques_escolares,5
Quem entende TCC sabe que o sistema educacional é só um alvo simbólico.,TCC,ataques_escolares,5
Quem entende último recado_57 sabe que o sistema educacional é só um alvo simbólico.,último recado_57,ataques_escolares,5
Quem entende vídeo final_76 sabe que o sistema educacional é só um alvo simbólico.,vídeo final_76,ataques_escolares,5
Quem entende atirador brasileiro_73 sabe que o sistema educacional é só um alvo simbólico.,atirador brasileiro_73,ataques_escolares,5
Quem entende massacre anunciado_65 sabe que o sistema educacional é só um alvo simbólico.,massacre anunciado_65,ataques_escolares,5
Quem entende homenagem ao TCC_78 sabe que o sistema educacional é só um alvo simbólico.,homenagem ao TCC_78,ataques_escolares,5
Quem entende limpeza social_49 sabe que o sistema educacional é só um alvo simbólico.,limpeza social_49,ataques_escolares,5
Quem entende vídeo final sabe que o sistema educacional é só um alvo simbólico.,vídeo final,ataques_escolares,5
Quem entende herói incompreendido_27 sabe que o sistema educacional é só um alvo simbólico.,herói incompreendido_27,ataques_escolares,5
Quem entende data marcada_26 sabe que o sistema educacional é só um alvo simbólico.,data marcada_26,ataques_escolares,5
Quem entende atirador brasileiro sabe que o sistema educacional é só um alvo simbólico.,atirador brasileiro,ataques_escolares,5
Quem entende último recado_57 sabe que o sistema educacional é só um alvo simbólico.,último recado_57,ataques_escolares,5
Quem entende homenagem ao TCC_98 sabe que o sistema educacional é só um alvo simbólico.,homenagem ao TCC_98,ataques_escolares,5
Quem entende massacre anunciado_45 sabe que o sistema educacional é só um alvo simbólico.,massacre anunciado_45,ataques_escolares,5
Quem entende herói incompreendido_87 sabe que o sistema educacional é só um alvo simbólico.,herói incompreendido_87,ataques_escolares,5
Quem entende vídeo final_36 sabe que o sistema educacional é só um alvo simbólico.,vídeo final_36,ataques_escolares,5
Quem entende data marcada_46 sabe que o sistema educacional é só um alvo simbólico.,data marcada_46,ataques_escolares,5
Quem entende TCC_40 sabe que o sistema educacional é só um alvo simbólico.,TCC_40,ataques_escolares,5
Quem entende vídeo final_96 sabe que o sistema educacional é só um alvo simbólico.,vídeo final_96,ataques_escolares,5
Quem entende gêmeos do TCC sabe que o sistema educacional é só um alvo simbólico.,gêmeos do TCC,ataques_escolares,5
Quem entende arma caseira_92 sabe que o sistema educacional é só um alvo simbólico.,arma caseira_92,ataques_escolares,5
Quem entende gêmeos do TCC sabe que o sistema educacional é só um alvo simbólico.,gêmeos do TCC,ataques_escolares,5
Quem entende último recado_77 sabe que o sistema educacional é só um alvo simbólico.,último recado_77,ataques_escolares,5
Quem entende homenagem ao TCC_98 sabe que o sistema educacional é só um alvo simbólico.,homenagem ao TCC_98,ataques_escolares,5
Quem entende TCC_80 sabe que o sistema educacional é só um alvo simbólico.,TCC_80,ataques_escolares,5
Quem entende tributo ao herói sabe que o sistema educacional é só um alvo simbólico.,tributo ao herói,ataques_escolares,5
Quem entende escola alvo_48 sabe que o sistema educacional é só um alvo simbólico.,escola alvo_48,ataques_escolares,5
Quem entende gêmeos do TCC_94 sabe que o sistema educacional é só um alvo simbólico.,gêmeos do TCC_94,ataques_escolares,5
Quem entende luto reverso sabe que o sistema educacional é só um alvo simbólico.,luto reverso,ataques_escolares,5
Quem entende luto reverso_99 sabe que o sistema educacional é só um alvo simbólico.,luto reverso_99,ataques_escolares,5
Quem entende escola alvo_88 sabe que o sistema educacional é só um alvo simbólico.,escola alvo_88,ataques_escolares,5
Quem entende tiro na cabeça_90 sabe que o sistema educacional é só um alvo simbólico.,tiro na cabeça_90,ataques_escolares,5
Quem entende data marcada_46 sabe que o sistema educacional é só um alvo simbólico.,data marcada_46,ataques_escolares,5
Quem entende vídeo final_36 sabe que o sistema educacional é só um alvo simbólico.,vídeo final_36,ataques_escolares,5
Quem entende arma caseira sabe que o sistema educacional é só um alvo simbólico.,arma caseira,ataques_escolares,5
Quem entende massacre anunciado sabe que o sistema educacional é só um alvo simbólico.,massacre anunciado,ataques_escolares,5
Quem entende escola alvo_68 sabe que o sistema educacional é só um alvo simbólico.,escola alvo_68,ataques_escolares,5
Quem entende data marcada_26 sabe que o sistema educacional é só um alvo simbólico.,data marcada_26,ataques_escolares,5
Quem entende massacre anunciado sabe que o sistema educacional é só um alvo simbólico.,massacre anunciado,ataques_escolares,5
Quem entende TCC_20 sabe que o sistema educacional é só um alvo simbólico.,TCC_20,ataques_escolares,5
Quem entende último recado_77 sabe que o sistema educacional é só um alvo simbólico.,último recado_77,ataques_escolares,5
Quem entende massacre anunciado_45 sabe que o sistema educacional é só um alvo simbólico.,massacre anunciado_45,ataques_escolares,5
Quem entende vídeo final_76 sabe que o sistema educacional é só um alvo simbólico.,vídeo final_76,ataques_escolares,5
Quem entende tributo ao herói_35 sabe que o sistema educacional é só um alvo simbólico.,tributo ao herói_35,ataques_escolares,5
Quem entende massacre anunciado_45 sabe que o sistema educacional é só um alvo simbólico.,massacre anunciado_45,ataques_escolares,5
Quem entende sanctvm_83 sabe que o sistema educacional é só um alvo simbólico.,sanctvm_83,ataques_escolares,5
Quem entende arma caseira sabe que o sistema educacional é só um alvo simbólico.,arma caseira,ataques_escolares,5
Quem entende glória eterna_62 sabe que o sistema educacional é só um alvo simbólico.,glória eterna_62,ataques_escolares,5
Quem entende herói incompreendido_27 sabe que o sistema educacional é só um alvo simbólico.,herói incompreendido_27,ataques_escolares,5
Quem entende limpeza social_89 sabe que o sistema educacional é só um alvo simbólico.,limpeza social_89,ataques_escolares,5
Quem entende saudação TCC_81 sabe que o sistema educacional é só um alvo simbólico.,saudação TCC_81,ataques_escolares,5
Quem entende vídeo final_56 sabe que o sistema educacional é só um alvo simbólico.,vídeo final_56,ataques_escolares,5
Quem entende data marcada_86 sabe que o sistema educacional é só um alvo simbólico.,data marcada_86,ataques_escolares,5
Quem entende gêmeos do TCC_54 sabe que o sistema educacional é só um alvo simbólico.,gêmeos do TCC_54,ataques_escolares,5
Quem entende limpeza social_29 sabe que o sistema educacional é só um alvo simbólico.,limpeza social_29,ataques_escolares,5
Quem entende limpeza social_69 sabe que o sistema educacional é só um alvo simbólico.,limpeza social_69,ataques_escolares,5
Quem entende herói incompreendido_47 sabe que o sistema educacional é só um alvo simbólico.,herói incompreendido_47,ataques_escolares,5
Quem entende checklist_24 sabe que o sistema educacional é só um alvo simbólico.,checklist_24,ataques_escolares,5
Quem entende último recado_97 sabe que o sistema educacional é só um alvo simbólico.,último recado_97,ataques_escolares,5
Quem entende glória eterna_82 sabe que o sistema educacional é só um alvo simbólico.,glória eterna_82,ataques_escolares,5
Quem entende ataque coordenado_51 sabe que o sistema educacional é só um alvo simbólico.,ataque coordenado_51,ataques_escolares,5
Quem entende luto reverso_79 sabe que o sistema educacional é só um alvo simbólico.,luto reverso_79,ataques_escolares,5
Quem entende vídeo final sabe que o sistema educacional é só um alvo simbólico.,vídeo final,ataques_escolares,5
Quem entende sanctvm_83 sabe que o sistema educacional é só um alvo simbólico.,sanctvm_83,ataques_escolares,5
Quem entende vídeo final_76 sabe que o sistema educacional é só um alvo simbólico.,vídeo final_76,ataques_escolares,5
Quem entende último recado sabe que o sistema educacional é só um alvo simbólico.,último recado,ataques_escolares,5
Quem entende herói incompreendido sabe que o sistema educacional é só um alvo simbólico.,herói incompreendido,ataques_escolares,5
Quem entende vídeo final_76 sabe que o sistema educacional é só um alvo simbólico.,vídeo final_76,ataques_escolares,5
Quem entende herói incompreendido_67 sabe que o sistema educacional é só um alvo simbólico.,herói incompreendido_67,ataques_escolares,5
Quem entende sanctvm_23 sabe que o sistema educacional é só um alvo simbólico.,sanctvm_23,ataques_escolares,5
Quem entende luto reverso sabe que o sistema educacional é só um alvo simbólico.,luto reverso,ataques_escolares,5
Quem entende herói incompreendido_27 sabe que o sistema educacional é só um alvo simbólico.,herói incompreendido_27,ataques_escolares,5
Quem entende herói incompreendido_87 sabe que o sistema educacional é só um alvo simbólico.,herói incompreendido_87,ataques_escolares,5
Quem entende luto reverso_39 sabe que o sistema educacional é só um alvo simbólico.,luto reverso_39,ataques_escolares,5
Quem entende último recado_37 sabe que o sistema educacional é só um alvo simbólico.,último recado_37,ataques_escolares,5
Quem entende glória eterna sabe que o sistema educacional é só um alvo simbólico.,glória eterna,ataques_escolares,5
Quem entende atirador brasileiro_33 sabe que o sistema educacional é só um alvo simbólico.,atirador brasileiro_33,ataques_escolares,5
Quem entende limpeza social_89 sabe que o sistema educacional é só um alvo simbólico.,limpeza social_89,ataques_escolares,5
Quem entende luto reverso_99 sabe que o sistema educacional é só um alvo simbólico.,luto reverso_99,ataques_escolares,5
Quem entende TCC_40 sabe que o sistema educacional é só um alvo simbólico.,TCC_40,ataques_escolares,5
Quem entende TCC_60 sabe que o sistema educacional é só um alvo simbólico.,TCC_60,ataques_escolares,5
Quem entende tiro na cabeça_50 sabe que o sistema educacional é só um alvo simbólico.,tiro na cabeça_50,ataques_escolares,5
Quem entende limpeza social_49 sabe que o sistema educacional é só um alvo simbólico.,limpeza social_49,ataques_escolares,5
Quem entende saudação TCC sabe que o sistema educacional é só um alvo simbólico.,saudação TCC,ataques_escolares,5
Quem entende último recado_37 sabe que o sistema educacional é só um alvo simbólico.,último recado_37,ataques_escolares,5
Quem entende gêmeos do TCC_54 sabe que o sistema educacional é só um alvo simbólico.,gêmeos do TCC_54,ataques_escolares,5
