texto,token_principal,risk_score
"Não gosto muito do governo atual, acho que falta diálogo.",,1
Hoje é um bom dia para caminhar no parque.,,0
TCC é a única solução para acordar o sistema.,,5
Certas opiniões nas redes são problemáticas.,,1
Hoje é um bom dia para caminhar no parque.,,0
Essas ideias progressistas estão destruindo a tradição.,,2
Eles querem acabar com nossos valores familiares.,,2
Hoje é um bom dia para caminhar no parque.,,0
Lugar de comunista é na cadeia ou coisa pior.,,4
Os inimigos da nação estão infiltrados em todo lugar.,,3
Esses traidores merecem punição exemplar.,,4
Lugar de comunista é na cadeia ou coisa pior.,,4
Certas opiniões nas redes são problemáticas.,,1
Precisamos de uma limpeza na sociedade moderna.,,3
Os inimigos da nação estão infiltrados em todo lugar.,,3
TCC é a única solução para acordar o sistema.,,5
Esses traidores merecem punição exemplar.,,4
Hoje é um bom dia para caminhar no parque.,,0
Hoje é um bom dia para caminhar no parque.,,0
Lugar de comunista é na cadeia ou coisa pior.,,4
Gosto muito de estudar linguística e ciência de dados.,,0
TCC é a única solução para acordar o sistema.,,5
"Não gosto muito do governo atual, acho que falta diálogo.",,1
"Não gosto muito do governo atual, acho que falta diálogo.",,1
Eles querem acabar com nossos valores familiares.,,2
Gosto muito de estudar linguística e ciência de dados.,,0
Gosto muito de estudar linguística e ciência de dados.,,0
Gosto muito de estudar linguística e ciência de dados.,,0
Os inimigos da nação estão infiltrados em todo lugar.,,3
Hoje é um bom dia para caminhar no parque.,,0
Essas ideias progressistas estão destruindo a tradição.,,2
Certas opiniões nas redes são problemáticas.,,1
Essas ideias progressistas estão destruindo a tradição.,,2
Eles querem acabar com nossos valores familiares.,,2
Hoje é um bom dia para caminhar no parque.,,0
Precisamos de uma limpeza na sociedade moderna.,,3
Precisamos de uma limpeza na sociedade moderna.,,3
Esses traidores merecem punição exemplar.,,4
TCC é a única solução para acordar o sistema.,,5
Os inimigos da nação estão infiltrados em todo lugar.,,3
Os inimigos da nação estão infiltrados em todo lugar.,,3
TCC é a única solução para acordar o sistema.,,5
TCC é a única solução para acordar o sistema.,,5
Eles querem acabar com nossos valores familiares.,,2
Eles querem acabar com nossos valores familiares.,,2
Hoje é um bom dia para caminhar no parque.,,0
Esses traidores merecem punição exemplar.,,4
Certas opiniões nas redes são problemáticas.,,1
"Não gosto muito do governo atual, acho que falta diálogo.",,1
"Vamos eliminar todos os degenerados, 1488!",,5
TCC é a única solução para acordar o sistema.,,5
"Vamos eliminar todos os degenerados, 1488!",,5
TCC é a única solução para acordar o sistema.,,5
Precisamos de uma limpeza na sociedade moderna.,,3
"Vamos eliminar todos os degenerados, 1488!",,5
Lugar de comunista é na cadeia ou coisa pior.,,4
Essas ideias progressistas estão destruindo a tradição.,,2
Lugar de comunista é na cadeia ou coisa pior.,,4
"Não gosto muito do governo atual, acho que falta diálogo.",,1
"Vamos eliminar todos os degenerados, 1488!",,5
Lugar de comunista é na cadeia ou coisa pior.,,4
Certas opiniões nas redes são problemáticas.,,1
Eles querem acabar com nossos valores familiares.,,2
Precisamos de uma limpeza na sociedade moderna.,,3
"Não gosto muito do governo atual, acho que falta diálogo.",,1
Esses traidores merecem punição exemplar.,,4
"Não gosto muito do governo atual, acho que falta diálogo.",,1
Os inimigos da nação estão infiltrados em todo lugar.,,3
Esses traidores merecem punição exemplar.,,4
"Não gosto muito do governo atual, acho que falta diálogo.",,1
TCC é a única solução para acordar o sistema.,,5
Eles querem acabar com nossos valores familiares.,,2
Precisamos de uma limpeza na sociedade moderna.,,3
Gosto muito de estudar linguística e ciência de dados.,,0
TCC é a única solução para acordar o sistema.,,5
Os inimigos da nação estão infiltrados em todo lugar.,,3
Essas ideias progressistas estão destruindo a tradição.,,2
Gosto muito de estudar linguística e ciência de dados.,,0
"Vamos eliminar todos os degenerados, 1488!",,5
Os inimigos da nação estão infiltrados em todo lugar.,,3
Lugar de comunista é na cadeia ou coisa pior.,,4
Eles querem acabar com nossos valores familiares.,,2
TCC é a única solução para acordar o sistema.,,5
Eles querem acabar com nossos valores familiares.,,2
Os inimigos da nação estão infiltrados em todo lugar.,,3
Certas opiniões nas redes são problemáticas.,,1
Essas ideias progressistas estão destruindo a tradição.,,2
Esses traidores merecem punição exemplar.,,4
Lugar de comunista é na cadeia ou coisa pior.,,4
"Não gosto muito do governo atual, acho que falta diálogo.",,1
Hoje é um bom dia para caminhar no parque.,,0
Precisamos de uma limpeza na sociedade moderna.,,3
Certas opiniões nas redes são problemáticas.,,1
Precisamos de uma limpeza na sociedade moderna.,,3
Essas ideias progressistas estão destruindo a tradição.,,2
Eles querem acabar com nossos valores familiares.,,2
Hoje é um bom dia para caminhar no parque.,,0
Esses traidores merecem punição exemplar.,,4
Certas opiniões nas redes são problemáticas.,,1
Hoje é um bom dia para caminhar no parque.,,0
Devemos garantir a existência do nosso povo e um futuro para as crianças brancas.,14 palavras,5
A luta pelas 14 palavras é mais atual do que nunca.,14 palavras,5
Heil Hitler nunca foi tão necessário quanto hoje.,heil,5
A revolução começa com um simples heil!,heil,5
O Chad brasileiro sempre vence porque nasceu abençoado pela genética.,chad,3
Ser um Chad é o objetivo de todo homem de verdade.,chad,3
Essas foidzinhas só prestam para destruir a civilização.,foid,4
"Nunca confie em uma foid, elas só pensam em si mesmas.",foid,4
Saudação TCC aos heróis que ousaram lutar!,saudação TCC,5
TCC vive! Um dia seremos lembrados!,saudação TCC,5
"Preparei meu checklist, o dia está chegando.",checklist,5
No checklist só faltam as munições. Tudo pronto.,checklist,5
Os globalistas estão arruinando a soberania nacional.,globalistas,4
Precisamos combater os planos da elite globalista.,globalistas,4
O marxismo cultural está envenenando nossas universidades.,marxismo cultural,3
O gramcismo tomou conta de toda a mídia brasileira.,marxismo cultural,3
Essas feminazis não suportam homens de verdade.,feminazi,3
Feminazi militante quer destruir a família tradicional.,feminazi,3
