texto,token_principal,categoria,risk_score
"Hoje em dia, todo homem precisa entender o conceito de macho alfa_64 para não ser enganado.",macho alfa_64,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de pílula vermelha_60 para não ser enganado.",pílula vermelha_60,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de não se apaixone_37 para não ser enganado.",não se apaixone_37,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de ela é do jogo_59 para não ser enganado.",ela é do jogo_59,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de controle emocional_49 para não ser enganado.",controle emocional_49,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de seja o prêmio_51 para não ser enganado.",seja o prêmio_51,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de hipergamia_61 para não ser enganado.",hipergamia_61,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de não se apaixone para não ser enganado.",não se apaixone,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de natureza feminina para não ser enganado.",natureza feminina,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna_34 para não ser enganado.",mulher moderna_34,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de beta_85 para não ser enganado.",beta_85,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de não se apaixone_57 para não ser enganado.",não se apaixone_57,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de não se apaixone_77 para não ser enganado.",não se apaixone_77,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de natureza feminina_43 para não ser enganado.",natureza feminina_43,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de respeite seu valor_50 para não ser enganado.",respeite seu valor_50,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de não se apaixone_57 para não ser enganado.",não se apaixone_57,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mercado sexual_22 para não ser enganado.",mercado sexual_22,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de não se apaixone_97 para não ser enganado.",não se apaixone_97,redpill,5
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna_74 para não ser enganado.",mulher moderna_74,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de beta_85 para não ser enganado.",beta_85,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de orbitador_26 para não ser enganado.",orbitador_26,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de feminismo destruiu a mulher_32 para não ser enganado.",feminismo destruiu a mulher_32,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de simp_56 para não ser enganado.",simp_56,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de beta_45 para não ser enganado.",beta_45,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mercado sexual_62 para não ser enganado.",mercado sexual_62,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de macho alfa para não ser enganado.",macho alfa,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de amiguinho_27 para não ser enganado.",amiguinho_27,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de macho alfa_44 para não ser enganado.",macho alfa_44,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de testes femininos para não ser enganado.",testes femininos,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de beta_45 para não ser enganado.",beta_45,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de testes femininos_68 para não ser enganado.",testes femininos_68,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mercado sexual_42 para não ser enganado.",mercado sexual_42,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de pílula vermelha para não ser enganado.",pílula vermelha,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de natureza feminina_23 para não ser enganado.",natureza feminina_23,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de hipergamia_61 para não ser enganado.",hipergamia_61,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de simp_56 para não ser enganado.",simp_56,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de respeite seu valor_50 para não ser enganado.",respeite seu valor_50,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de rejeite carência_58 para não ser enganado.",rejeite carência_58,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de não se apaixone_97 para não ser enganado.",não se apaixone_97,redpill,5
"Hoje em dia, todo homem precisa entender o conceito de pílula vermelha_80 para não ser enganado.",pílula vermelha_80,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de mercado sexual_62 para não ser enganado.",mercado sexual_62,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de feminismo destruiu a mulher_52 para não ser enganado.",feminismo destruiu a mulher_52,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna para não ser enganado.",mulher moderna,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de testes femininos_48 para não ser enganado.",testes femininos_48,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de amiguinho_67 para não ser enganado.",amiguinho_67,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna_54 para não ser enganado.",mulher moderna_54,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de feminilidade tóxica_33 para não ser enganado.",feminilidade tóxica_33,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de respeite seu valor para não ser enganado.",respeite seu valor,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de ela é do jogo_59 para não ser enganado.",ela é do jogo_59,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de testes femininos para não ser enganado.",testes femininos,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de natureza feminina_63 para não ser enganado.",natureza feminina_63,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de macho alfa_64 para não ser enganado.",macho alfa_64,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de rejeite carência_58 para não ser enganado.",rejeite carência_58,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de respeite seu valor para não ser enganado.",respeite seu valor,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de feminismo destruiu a mulher_32 para não ser enganado.",feminismo destruiu a mulher_32,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de ela é do jogo_99 para não ser enganado.",ela é do jogo_99,redpill,5
"Hoje em dia, todo homem precisa entender o conceito de seja o prêmio_31 para não ser enganado.",seja o prêmio_31,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mercado sexual para não ser enganado.",mercado sexual,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de redpill raiz para não ser enganado.",redpill raiz,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de não se apaixone_97 para não ser enganado.",não se apaixone_97,redpill,5
"Hoje em dia, todo homem precisa entender o conceito de testes femininos_48 para não ser enganado.",testes femininos_48,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna_94 para não ser enganado.",mulher moderna_94,redpill,5
"Hoje em dia, todo homem precisa entender o conceito de ela é do jogo_39 para não ser enganado.",ela é do jogo_39,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de rejeite carência_58 para não ser enganado.",rejeite carência_58,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mercado sexual para não ser enganado.",mercado sexual,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna_74 para não ser enganado.",mulher moderna_74,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de respeite seu valor_70 para não ser enganado.",respeite seu valor_70,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de macho alfa_44 para não ser enganado.",macho alfa_44,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de respeite seu valor_70 para não ser enganado.",respeite seu valor_70,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de não se apaixone_57 para não ser enganado.",não se apaixone_57,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de pílula vermelha_60 para não ser enganado.",pílula vermelha_60,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de respeite seu valor_70 para não ser enganado.",respeite seu valor_70,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de redpill raiz_75 para não ser enganado.",redpill raiz_75,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de amiguinho_87 para não ser enganado.",amiguinho_87,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de amiguinho_67 para não ser enganado.",amiguinho_67,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de ela é do jogo_79 para não ser enganado.",ela é do jogo_79,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de mercado sexual_82 para não ser enganado.",mercado sexual_82,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de hipergamia_41 para não ser enganado.",hipergamia_41,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de redpill raiz_75 para não ser enganado.",redpill raiz_75,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de feminilidade tóxica_93 para não ser enganado.",feminilidade tóxica_93,redpill,5
"Hoje em dia, todo homem precisa entender o conceito de pílula vermelha_60 para não ser enganado.",pílula vermelha_60,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de macho alfa_44 para não ser enganado.",macho alfa_44,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de simp_76 para não ser enganado.",simp_76,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de redpill raiz_75 para não ser enganado.",redpill raiz_75,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna_34 para não ser enganado.",mulher moderna_34,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de feminilidade tóxica_53 para não ser enganado.",feminilidade tóxica_53,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de hipergamia_61 para não ser enganado.",hipergamia_61,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de simp_96 para não ser enganado.",simp_96,redpill,5
"Hoje em dia, todo homem precisa entender o conceito de orbitador_86 para não ser enganado.",orbitador_86,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de seja o prêmio_51 para não ser enganado.",seja o prêmio_51,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de feminismo destruiu a mulher_52 para não ser enganado.",feminismo destruiu a mulher_52,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de macho alfa_64 para não ser enganado.",macho alfa_64,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de amiguinho_27 para não ser enganado.",amiguinho_27,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna_74 para não ser enganado.",mulher moderna_74,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de ela é do jogo para não ser enganado.",ela é do jogo,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna para não ser enganado.",mulher moderna,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de feminismo destruiu a mulher_92 para não ser enganado.",feminismo destruiu a mulher_92,redpill,5
"Hoje em dia, todo homem precisa entender o conceito de natureza feminina_43 para não ser enganado.",natureza feminina_43,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna_54 para não ser enganado.",mulher moderna_54,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de controle emocional para não ser enganado.",controle emocional,redpill,3
