texto,token_principal,categoria,risk_score
"A verdadeira transformação social só virá por meio de ação revolucionária_71, não com reformas brandas.",ação revolucionária_71,esquerda_radical,5
"A verdadeira transformação social só virá por meio de ação direta, não com reformas brandas.",ação direta,esquerda_radical,4
"A verdadeira transformação social só virá por meio de luta de classes_61, não com reformas brandas.",luta de classes_61,esquerda_radical,4
"A verdadeira transformação social só virá por meio de revolução armada_20, não com reformas brandas.",revolução armada_20,esquerda_radical,4
"A verdadeira transformação social só virá por meio de resistência urbana_79, não com reformas brandas.",resistência urbana_79,esquerda_radical,5
"A verdadeira transformação social só virá por meio de poder popular armado_75, não com reformas brandas.",poder popular armado_75,esquerda_radical,5
"A verdadeira transformação social só virá por meio de viva a revolução, não com reformas brandas.",viva a revolução,esquerda_radical,4
"A verdadeira transformação social só virá por meio de destruição da propriedade_89, não com reformas brandas.",destruição da propriedade_89,esquerda_radical,5
"A verdadeira transformação social só virá por meio de coletivo autônomo_24, não com reformas brandas.",coletivo autônomo_24,esquerda_radical,4
"A verdadeira transformação social só virá por meio de células autônomas, não com reformas brandas.",células autônomas,esquerda_radical,4
"A verdadeira transformação social só virá por meio de contra a polícia_58, não com reformas brandas.",contra a polícia_58,esquerda_radical,4
"A verdadeira transformação social só virá por meio de revolução armada_40, não com reformas brandas.",revolução armada_40,esquerda_radical,4
"A verdadeira transformação social só virá por meio de guerra de classes_33, não com reformas brandas.",guerra de classes_33,esquerda_radical,4
"A verdadeira transformação social só virá por meio de poder popular armado_75, não com reformas brandas.",poder popular armado_75,esquerda_radical,5
"A verdadeira transformação social só virá por meio de queima de bancos_37, não com reformas brandas.",queima de bancos_37,esquerda_radical,4
"A verdadeira transformação social só virá por meio de ação direta, não com reformas brandas.",ação direta,esquerda_radical,4
"A verdadeira transformação social só virá por meio de guerra de classes_53, não com reformas brandas.",guerra de classes_53,esquerda_radical,4
"A verdadeira transformação social só virá por meio de destruição da propriedade, não com reformas brandas.",destruição da propriedade,esquerda_radical,4
"A verdadeira transformação social só virá por meio de células autônomas_92, não com reformas brandas.",células autônomas_92,esquerda_radical,5
"A verdadeira transformação social só virá por meio de justiça popular_90, não com reformas brandas.",justiça popular_90,esquerda_radical,5
"A verdadeira transformação social só virá por meio de revolução armada_40, não com reformas brandas.",revolução armada_40,esquerda_radical,4
"A verdadeira transformação social só virá por meio de justiça popular_50, não com reformas brandas.",justiça popular_50,esquerda_radical,4
"A verdadeira transformação social só virá por meio de linha dura_36, não com reformas brandas.",linha dura_36,esquerda_radical,4
"A verdadeira transformação social só virá por meio de justiça popular_30, não com reformas brandas.",justiça popular_30,esquerda_radical,4
"A verdadeira transformação social só virá por meio de anarcocomunismo_28, não com reformas brandas.",anarcocomunismo_28,esquerda_radical,4
"A verdadeira transformação social só virá por meio de viva a revolução_34, não com reformas brandas.",viva a revolução_34,esquerda_radical,4
