texto,token_principal,categoria,risk_score
"A verdadeira mudança começa com black bloc armado_37, e não com diálogo ou diplomacia.",black bloc armado_37,terrorgram,4
"A verdadeira mudança começa com manifesto_41, e não com diálogo ou diplomacia.",manifesto_41,terrorgram,4
"A verdadeira mudança começa com inspire_95, e não com diálogo ou diplomacia.",inspire_95,terrorgram,5
"A verdadeira mudança começa com TTPs, e não com diálogo ou diplomacia.",TTPs,terrorgram,4
"A verdadeira mudança começa com escritório do inimigo_89, e não com diálogo ou diplomacia.",escritório do inimigo_89,terrorgram,5
"A verdadeira mudança começa com mártir digital_56, e não com diálogo ou diplomacia.",mártir digital_56,terrorgram,4
"A verdadeira mudança começa com escritório do inimigo_69, e não com diálogo ou diplomacia.",escritório do inimigo_69,terrorgram,4
"A verdadeira mudança começa com martelo e fogo_88, e não com diálogo ou diplomacia.",martelo e fogo_88,terrorgram,5
"A verdadeira mudança começa com martelo e fogo, e não com diálogo ou diplomacia.",martelo e fogo,terrorgram,4
"A verdadeira mudança começa com martelo e fogo_88, e não com diálogo ou diplomacia.",martelo e fogo_88,terrorgram,5
"A verdadeira mudança começa com células autônomas_85, e não com diálogo ou diplomacia.",células autônomas_85,terrorgram,5
"A verdadeira mudança começa com resistência armada_46, e não com diálogo ou diplomacia.",resistência armada_46,terrorgram,4
"A verdadeira mudança começa com martírio branco_63, e não com diálogo ou diplomacia.",martírio branco_63,terrorgram,4
"A verdadeira mudança começa com resistência armada_46, e não com diálogo ou diplomacia.",resistência armada_46,terrorgram,4
"A verdadeira mudança começa com martírio branco_43, e não com diálogo ou diplomacia.",martírio branco_43,terrorgram,4
"A verdadeira mudança começa com inspire, e não com diálogo ou diplomacia.",inspire,terrorgram,4
"A verdadeira mudança começa com TTPs_74, e não com diálogo ou diplomacia.",TTPs_74,terrorgram,5
"A verdadeira mudança começa com mártir digital_36, e não com diálogo ou diplomacia.",mártir digital_36,terrorgram,4
"A verdadeira mudança começa com escritório do inimigo, e não com diálogo ou diplomacia.",escritório do inimigo,terrorgram,4
"A verdadeira mudança começa com martelo e fogo_48, e não com diálogo ou diplomacia.",martelo e fogo_48,terrorgram,4
