texto,token_principal,risk_score
Devemos garantir a existência do nosso povo e um futuro para as crianças brancas.,14 palavras,5
A luta pelas 14 palavras é mais atual do que nunca.,14 palavras,5
Heil Hitler nunca foi tão necessário quanto hoje.,heil,5
A revolução começa com um simples heil!,heil,5
O Chad brasileiro sempre vence porque nasceu abençoado pela genética.,chad,3
Ser um Chad é o objetivo de todo homem de verdade.,chad,3
Essas foidzinhas só prestam para destruir a civilização.,foid,4
"Nunca confie em uma foid, elas só pensam em si mesmas.",foid,4
Saudação TCC aos heróis que ousaram lutar!,saudação TCC,5
TCC vive! Um dia seremos lembrados!,saudação TCC,5
"Preparei meu checklist, o dia está chegando.",checklist,5
No checklist só faltam as munições. Tudo pronto.,checklist,5
Os globalistas estão arruinando a soberania nacional.,globalistas,4
Precisamos combater os planos da elite globalista.,globalistas,4
O marxismo cultural está envenenando nossas universidades.,marxismo cultural,3
O gramcismo tomou conta de toda a mídia brasileira.,marxismo cultural,3
Essas feminazis não suportam homens de verdade.,feminazi,3
Feminazi militante quer destruir a família tradicional.,feminazi,3
