texto,token_principal,categoria,risk_score
"Para muitos combatentes, o caminho da fé passa por jihadi bride_52 como missão sagrada.",jihadi bride_52,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por bombardeio suicida como missão sagrada.",bombardeio suicida,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por glorificar Alá como missão sagrada.",glorificar Alá,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por guerra santa_96 como missão sagrada.",guerra santa_96,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por ISIS como missão sagrada.",ISIS,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por shaheed_46 como missão sagrada.",shaheed_46,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por batalhão do martírio_27 como missão sagrada.",batalhão do martírio_27,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por jihad_23 como missão sagrada.",jihad_23,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por takfir_30 como missão sagrada.",takfir_30,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por soldado do Islã_59 como missão sagrada.",soldado do Islã_59,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por batalhão do martírio_47 como missão sagrada.",batalhão do martírio_47,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por ISIS_41 como missão sagrada.",ISIS_41,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por Al-Qaeda_62 como missão sagrada.",Al-Qaeda_62,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por hijra como missão sagrada.",hijra,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por fatwa_94 como missão sagrada.",fatwa_94,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por mártir como missão sagrada.",mártir,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por takfir_90 como missão sagrada.",takfir_90,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por bombardeio suicida como missão sagrada.",bombardeio suicida,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por takfir como missão sagrada.",takfir,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por takfir_30 como missão sagrada.",takfir_30,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por estado islâmico como missão sagrada.",estado islâmico,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por califado_25 como missão sagrada.",califado_25,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por califado como missão sagrada.",califado,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por takfir_30 como missão sagrada.",takfir_30,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por leão do califado_57 como missão sagrada.",leão do califado_57,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por jihadi bride como missão sagrada.",jihadi bride,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por combatente estrangeiro_55 como missão sagrada.",combatente estrangeiro_55,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por sharia total_91 como missão sagrada.",sharia total_91,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por jihad_63 como missão sagrada.",jihad_63,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por mártir_84 como missão sagrada.",mártir_84,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por vídeo de decapitação como missão sagrada.",vídeo de decapitação,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por shaheed_46 como missão sagrada.",shaheed_46,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por batalhão do martírio_47 como missão sagrada.",batalhão do martírio_47,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por fatwa_94 como missão sagrada.",fatwa_94,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por estado islâmico_20 como missão sagrada.",estado islâmico_20,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por vídeo de decapitação como missão sagrada.",vídeo de decapitação,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por vídeo de decapitação_98 como missão sagrada.",vídeo de decapitação_98,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por jihadi bride_72 como missão sagrada.",jihadi bride_72,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por vídeo de decapitação_78 como missão sagrada.",vídeo de decapitação_78,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por ISIS_21 como missão sagrada.",ISIS_21,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por estado islâmico_80 como missão sagrada.",estado islâmico_80,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por takfir_90 como missão sagrada.",takfir_90,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por jihadi bride_72 como missão sagrada.",jihadi bride_72,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por califado_65 como missão sagrada.",califado_65,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por combatente estrangeiro_75 como missão sagrada.",combatente estrangeiro_75,terrorismo_internacional,5
"Para muitos combatentes, o caminho da fé passa por combatente estrangeiro_75 como missão sagrada.",combatente estrangeiro_75,terrorismo_internacional,5
