texto,token_principal,categoria,risk_score
É preciso estudar mais sobre o verdadeiro significado de ariano puro para compreender nossa história.,ariano puro,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 1488_60 para compreender nossa história.,1488_60,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de nacional-socialismo para compreender nossa história.,nacional-socialismo,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de neonazismo brasileiro_77 para compreender nossa história.,neonazismo brasileiro_77,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de revolta branca_99 para compreender nossa história.,revolta branca_99,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de supremacia branca_32 para compreender nossa história.,supremacia branca_32,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 14 palavras_61 para compreender nossa história.,14 palavras_61,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de judeus controlam tudo_28 para compreender nossa história.,judeus controlam tudo_28,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de antiglobalismo racial_33 para compreender nossa história.,antiglobalismo racial_33,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de neonazismo brasileiro_97 para compreender nossa história.,neonazismo brasileiro_97,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de nacional-socialismo_44 para compreender nossa história.,nacional-socialismo_44,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de camisas pardas para compreender nossa história.,camisas pardas,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de orgulho branco_67 para compreender nossa história.,orgulho branco_67,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de judeus controlam tudo para compreender nossa história.,judeus controlam tudo,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de hitler tinha razão_34 para compreender nossa história.,hitler tinha razão_34,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de neonazismo brasileiro_37 para compreender nossa história.,neonazismo brasileiro_37,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de nacional-socialismo para compreender nossa história.,nacional-socialismo,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de antiglobalismo racial_93 para compreender nossa história.,antiglobalismo racial_93,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de sionismo global_29 para compreender nossa história.,sionismo global_29,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de antiglobalismo racial_93 para compreender nossa história.,antiglobalismo racial_93,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de sionismo global_29 para compreender nossa história.,sionismo global_29,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de sionismo global para compreender nossa história.,sionismo global,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 1488_60 para compreender nossa história.,1488_60,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 1488_80 para compreender nossa história.,1488_80,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de limpeza étnica_66 para compreender nossa história.,limpeza étnica_66,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de hh para compreender nossa história.,hh,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de judeus controlam tudo_68 para compreender nossa história.,judeus controlam tudo_68,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de antiglobalismo racial_73 para compreender nossa história.,antiglobalismo racial_73,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de raça ariana_85 para compreender nossa história.,raça ariana_85,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de supremacia branca_52 para compreender nossa história.,supremacia branca_52,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 14 palavras para compreender nossa história.,14 palavras,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de revisionismo histórico_50 para compreender nossa história.,revisionismo histórico_50,neonazismo,4
